Site ID	Location Name	County	Issue Codes	Priority
CO-CHAFFEE-EVENING-STAR-MINE	Evening Star Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-FAIRPLAY-MINE	Fairplay Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-FRACTION-MINE	Fraction Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-FUTURITY-MINE	Futurity Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GARFIELD-MINE	Garfield Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GLADSTONE-MINE	Gladstone Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GOLD-BUG-TURRET	Gold Bug Mine (Turret District)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GOLDEN-AGE-MINE	Golden Age Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GOLDEN-CACHE-MINE	Golden Cache Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GOLDEN-WONDER-MINE	Golden Wonder Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GRAND-VIEW	Grand View Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-GREAT-MONARCH-MARSHALL-TUNNEL	Great Monarch and Marshall Tunnel	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-HERSKBERGER-TUNNEL	Herskberger Tunnel	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-HOLY-WATER-MINE	Holy Water Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-INDIANAPOLIS-MINE	Indianapolis Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-IRON-CHEST-GOLD-MINE	Iron Chest Mine (Gold Property, Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-IRON-DUKE-MINE	Iron Duke Mine (Chaffee County)	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-JEWELL-TUNNEL	Jewell Tunnel	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
CO-CHAFFEE-LIENHART-MINE	Lienhart Mine	Chaffee	MISSING_CONTENT_UPDATED_AT,PLACEHOLDER_CONTRACT_INCOMPLETE	HIGH
